germline,frequency
IGHV1-69*13,0.07549144181179461
IGHV3-23*01,0.07437028178488676
IGHV1-18*01,0.07138052171313253
IGHV1-8*01,0.06196277748710666
IGHV4-34*01,0.05919724942073398
IGHV1-2*02,0.05486209731669033
IGHV5-51*01,0.0518723372449361
IGHV4-31*03,0.04260408102249794
IGHV1-46*01,0.032737872785708944
IGHV3-21*01,0.02907541669781
IGHV3-9*01,0.026608864638612752
IGHV3-30-3*01,0.026384632633231184
IGHV3-48*03,0.02511398460273563
IGHV4-59*01,0.023918080574033933
IGHV3-30*18,0.020255624486134986
IGHV1-3*01,0.020255624486134986
IGHV4-39*01,0.018910232453845578
IGHV3-33*01,0.017265864414380747
IGHV4-4*07,0.016518424396442185
IGHV1-24*01,0.016144704387472904
IGHV1-2*04,0.013379176321100231
IGHV2-5*02,0.01322968831751252
IGHV4-4*02,0.011884296285223112
IGHV3-11*01,0.011734808281635398
IGHV3-7*01,0.011286344270872262
IGHV1-58*01,0.011136856267284551
IGHV4-30-2*01,0.010165184243964422
IGHV4-61*01,0.008296584199118022
IGHV2-5*01,0.008296584199118022
IGHV3-74*01,0.007324912175797892
IGHV3-53*01,0.006876448165034756
IGHV4-30-4*01,0.006726960161447044
IGHV3-30*03,0.0059047761417146275
IGHV4-38-2*01,0.005381568129157635
IGHV3-15*01,0.005306824127363779
IGHV3-73*01,0.005082592121982211
IGHV1-8*02,0.005007848120188355
IGHV1-69*05,0.004858360116600643
IGHV2-70*01,0.004634128111219074
IGHV4-39*07,0.004260408102249795
IGHV3-49*04,0.004185664100455938
IGHV2-26*01,0.004036176096868226
IGHV4-38-2*02,0.00358771208610509
IGHV4-59*12,0.0032887360789296658
IGHV1-18*04,0.0030645040735480977
IGHV6-1*01,0.0030645040735480977
IGHV5-51*06,0.002915016069960386
IGHV4-61*08,0.0026160400627849617
IGHV3-72*01,0.0025412960609911056
IGHV3-21*04,0.0022423200538156814
IGHV3-21*06,0.0021675760520218253
IGHV3-30*04,0.001943344046640257
IGHV3-48*04,0.001943344046640257
IGHV7-4-1*01,0.001943344046640257
IGHV3-13*01,0.001793856043052545
IGHV3-11*04,0.0014948800358771208
IGHV3-33*08,0.0014948800358771208
IGHV1-69*06,0.0012706480304955528
IGHV3-33*06,0.0011959040287016966
IGHV3-30*02,0.0011211600269078407
IGHV4-39*02,0.0011211600269078407
IGHV4-59*08,0.0010464160251139846
IGHV4-30-4*08,0.0008969280215262725
IGHV3-7*03,0.0008221840197324164
IGHV3-30-3*02,0.0008221840197324164
IGHV1-69*01,0.0008221840197324164
IGHV4-31*11,0.0007474400179385604
IGHV1-58*02,0.0007474400179385604
IGHV4-34*09,0.0006726960161447044
IGHV3-43D*04,0.0006726960161447044
IGHV4-31*02,0.0005979520143508483
IGHV3-74*03,0.0005979520143508483
IGHV3-30*19,0.0005979520143508483
IGHV3-43*01,0.0005232080125569923
IGHV4-59*11,0.0005232080125569923
IGHV1-46*04,0.0005232080125569923
IGHV4-61*05,0.00044846401076313624
IGHV4-61*02,0.00044846401076313624
IGHV4-30-2*05,0.00044846401076313624
IGHV4-59*02,0.00044846401076313624
IGHV4-28*03,0.00044846401076313624
IGHV2-70*12,0.00044846401076313624
IGHV3-20*01,0.00044846401076313624
IGHV4-61*03,0.0003737200089692802
IGHV4-30-2*06,0.0003737200089692802
IGHV3-33*03,0.0003737200089692802
IGHV4-59*06,0.00029897600717542416
IGHV3-33*05,0.00029897600717542416
IGHV3-53*05,0.00029897600717542416
IGHV4-59*10,0.00029897600717542416
IGHV1-46*02,0.00029897600717542416
IGHV5-51*03,0.00029897600717542416
IGHV3-30*14,0.00029897600717542416
IGHV3-21*05,0.00029897600717542416
IGHV4-30-4*02,0.00029897600717542416
IGHV3-7*04,0.00029897600717542416
IGHV3-11*05,0.00029897600717542416
IGHV4-30-2*02,0.00029897600717542416
IGHV3-20*04,0.00022423200538156812
IGHV3-64*02,0.00022423200538156812
IGHV3-66*04,0.00022423200538156812
IGHV1-8*03,0.00022423200538156812
IGHV1-46*03,0.00022423200538156812
IGHV3-69-1*01,0.00022423200538156812
IGHV2-70*13,0.00022423200538156812
IGHV4-34*12,0.00022423200538156812
IGHV4-30-2*03,0.00022423200538156812
IGHV1-3*04,0.00022423200538156812
IGHV4-4*08,0.00014948800358771208
IGHV4-31*01,0.00014948800358771208
IGHV3-11*06,0.00014948800358771208
IGHV3-7*02,0.00014948800358771208
IGHV1-18*03,0.00014948800358771208
IGHV3-NL1*01,0.00014948800358771208
IGHV3-69-1*02,0.00014948800358771208
IGHV1-3*02,0.00014948800358771208
IGHV3-23*03,0.00014948800358771208
IGHV7-4-1*02,0.00014948800358771208
IGHV4-28*01,0.00014948800358771208
IGHV4-4*03,0.00014948800358771208
IGHV5-51*04,0.00014948800358771208
IGHV1-2*06,0.00014948800358771208
IGHV3-66*01,0.00014948800358771208
IGHV4-34*10,0.00014948800358771208
IGHV4/OR15-8*02,0.00014948800358771208
IGHV1-45*02,0.00014948800358771208
IGHV4-31*09,7.474400179385604e-05
IGHV4-34*04,7.474400179385604e-05
IGHV3-30*07,7.474400179385604e-05
IGHV1-69*10,7.474400179385604e-05
IGHV4-4*09,7.474400179385604e-05
IGHV4/OR15-8*01,7.474400179385604e-05
IGHV3-35*01,7.474400179385604e-05
IGHV3-30*12,7.474400179385604e-05
IGHV4-59*13,7.474400179385604e-05
IGHV4-59*09,7.474400179385604e-05
IGHV3-30*01,7.474400179385604e-05
IGHV4-59*04,7.474400179385604e-05
IGHV3-30*16,7.474400179385604e-05
IGHV3-9*02,7.474400179385604e-05
IGHV4-31*08,7.474400179385604e-05
IGHV4-34*11,7.474400179385604e-05
IGHV2-70*20,7.474400179385604e-05
IGHV4-59*07,7.474400179385604e-05
IGHV4-4*01,7.474400179385604e-05
IGHV2-5*05,7.474400179385604e-05
IGHV3-23*02,7.474400179385604e-05
IGHV3-9*03,7.474400179385604e-05
IGHV2-5*08,7.474400179385604e-05
IGHV3-23*05,7.474400179385604e-05
IGHV3-21*03,7.474400179385604e-05
